"ID","Nome_da_Chamada","Valor_Global_Disponivel","Valor_Maximo_Por_Projeto","Data_Limite_Submissao","Percentual_Contrapartida","Nivel_TRL_Exigido","URL_PDF_Principal","URL_Original","Status_Processamento","Data_Coleta"
"Chamada Nordeste","Não identificado","R$ 10 bilhões","Não encontrado","15/09/2025","Não encontrado","Não encontrado","https://www.finep.gov.br/images/chamadas-publicas/2025/08_07_2025_Edital_Chamada_Nordeste.pdf","https://www.finep.gov.br/chamadas-publicas/chamadapublica/759","Concluído com sucesso","19/10/2025 16:34"
"FIP Transição Energética","FIP Transição Energética e Descarbonização","Não extraído","Não extraído","Não extraído","Não extraído","Não extraído","https://www.finep.gov.br/images/chamadas-publicas/2025/04_06_2025_Minuta_Edital_FIP_Trasicao_Energetica.pdf","https://www.finep.gov.br/chamadas-publicas/chamadapublica/760","Concluído com sucesso","19/10/2025 16:34"
